Education,Marital_Status,Income,Kids,Days_is_client,Recency,Expenses,TotalNumPurchases,TotalAcceptedCmp,Complain,Response,Target
Graduate,Partner,22010,1,364,51,33,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,62204,2,655,38,946,22,0,0,0,High-Value Frequent Shoppers
Graduate,Single,75693,0,570,10,1442,22,3,0,1,High-Value Frequent Shoppers
Graduate,Partner,30675,1,594,14,62,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,83003,0,483,18,1674,22,1,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,83532,0,276,36,1853,15,1,0,0,High-Value Frequent Shoppers
Graduate,Single,68655,0,688,95,1538,21,0,0,0,High-Value Frequent Shoppers
Graduate,Single,41411,0,204,11,139,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,55212,1,583,65,1182,20,2,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,59292,1,381,71,507,18,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,27190,1,318,13,18,4,1,0,1,Price-Conscious Minimal Shoppers
Graduate,Single,82623,0,231,58,940,16,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,44300,2,371,65,42,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,84835,0,13,0,1190,15,0,0,1,High-Value Frequent Shoppers
Graduate,Single,30372,2,551,33,44,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,33181,1,177,90,16,4,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,71113,1,194,95,835,26,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,71952,1,535,93,1443,22,2,0,0,High-Value Frequent Shoppers
Postgraduate,Single,69759,0,244,38,1029,18,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,72099,0,610,18,1188,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,60000,1,554,57,1277,24,0,0,0,High-Value Frequent Shoppers
Graduate,Single,38643,2,212,45,49,7,0,1,0,Family-Oriented Budget Shoppers
Graduate,Partner,50737,1,414,61,99,7,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,68462,0,564,6,1670,15,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65073,0,313,65,900,14,0,1,0,High-Value Frequent Shoppers
Postgraduate,Partner,46681,2,264,52,425,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,78618,0,639,87,2153,22,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,62187,1,99,38,636,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,28442,2,125,53,57,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,51479,2,548,67,494,22,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,54803,1,677,65,693,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,79530,0,408,64,1348,26,0,0,0,High-Value Frequent Shoppers
Graduate,Single,31615,1,470,82,51,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,72025,0,589,27,1932,16,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,52614,1,575,63,990,16,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,35684,1,68,66,30,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,48178,2,609,69,254,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,29548,1,304,52,29,5,1,0,0,Family-Oriented Budget Shoppers
Graduate,Single,63810,1,595,45,1371,23,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,38578,2,372,2,73,9,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Single,46098,2,680,86,120,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,22585,0,468,23,81,5,1,0,1,Family-Oriented Budget Shoppers
Graduate,Single,30279,1,546,13,37,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,66426,1,270,14,1377,20,0,0,0,High-Value Frequent Shoppers
Graduate,Single,30822,1,380,92,51,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,33581,2,537,38,17,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,19986,1,227,74,22,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,27421,0,564,14,324,14,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,36143,1,91,33,19,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,10245,1,410,32,41,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,43795,1,256,11,492,17,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,63381,1,632,78,1005,26,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,38823,1,668,56,114,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,83664,2,417,57,1173,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,90300,0,177,7,1738,19,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,62499,1,202,0,222,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,74293,0,56,66,1127,16,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,51012,0,437,86,209,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,70777,1,124,80,787,23,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,68682,0,266,56,1598,24,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,43824,2,652,18,186,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,15345,1,667,51,47,6,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,23442,1,552,71,27,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,14515,1,597,71,96,11,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,31395,2,463,80,64,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,75276,0,640,2,1040,23,0,0,0,High-Value Frequent Shoppers
Graduate,Single,42373,2,318,83,163,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,30507,0,475,29,343,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,55521,3,250,11,446,24,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,48006,2,20,55,41,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,27213,1,668,19,70,9,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Single,65808,2,30,1,272,14,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,30351,1,388,19,46,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,50437,2,620,28,490,19,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,23616,1,589,76,79,8,0,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,53858,1,597,50,915,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,66465,1,456,1,1485,35,1,0,0,High-Value Frequent Shoppers
Graduate,Single,46923,1,676,90,369,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,75072,1,522,83,1073,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,75865,0,90,73,1242,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,19789,1,221,24,78,9,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,80134,0,135,11,1378,21,4,0,0,High-Value Frequent Shoppers
Graduate,Single,91065,0,492,33,1474,26,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,49505,2,481,4,751,29,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,37401,1,54,14,48,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,18492,1,24,75,10,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,82584,0,390,26,1435,16,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,93027,0,442,77,2119,22,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,48686,3,207,8,20,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,92910,0,66,42,1795,27,3,0,0,High-Value Frequent Shoppers
Graduate,Partner,75433,1,85,28,1188,19,2,0,0,High-Value Frequent Shoppers
Graduate,Partner,10404,1,56,52,43,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,61314,1,430,1,1008,24,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,84865,0,416,1,1688,16,4,0,1,High-Value Frequent Shoppers
Graduate,Partner,42387,1,608,42,684,21,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,75236,1,216,27,1068,25,0,0,0,High-Value Frequent Shoppers
Graduate,Single,30015,1,147,28,57,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,50943,1,373,49,46,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,67272,1,190,12,733,23,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,51529,1,295,14,467,17,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,32011,1,311,89,122,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,7500,1,507,96,36,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,28691,1,360,56,34,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,56223,1,191,72,156,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,18100,0,327,14,14,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,20130,0,104,99,34,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,23295,0,351,72,20,4,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,42618,1,263,92,192,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,81246,0,182,87,1379,17,2,0,0,High-Value Frequent Shoppers
Graduate,Partner,24027,1,385,7,48,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,55707,1,189,91,428,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,57959,1,423,71,868,27,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,56796,1,498,24,1001,27,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,36230,1,255,17,59,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,70829,2,210,87,431,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,65991,1,660,21,971,27,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,38988,3,678,90,348,19,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,89572,0,652,44,2059,24,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,42207,1,454,71,265,14,1,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,50300,1,35,52,270,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,66664,0,642,78,1289,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,60597,1,179,2,893,16,1,0,1,High-Value Frequent Shoppers
Graduate,Single,70165,0,280,60,926,22,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,50520,1,152,25,135,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,33183,1,125,46,120,9,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,66582,0,118,83,1288,20,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,75261,0,432,17,1743,17,2,0,1,High-Value Frequent Shoppers
Graduate,Single,31880,1,606,13,15,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,53790,2,115,86,542,20,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,49269,1,683,92,890,25,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,61456,1,459,47,1388,33,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,37406,1,262,18,17,4,0,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,56937,1,694,81,906,30,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,38415,2,543,91,44,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,20518,1,42,58,25,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,62503,1,496,40,973,26,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,41644,2,51,67,31,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,55842,1,37,19,518,17,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,62010,1,614,93,530,19,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,41124,1,606,41,506,21,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,38961,1,181,60,70,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,37760,1,322,54,54,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,32233,1,679,26,296,12,1,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,43057,1,242,30,266,15,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,83151,0,627,93,747,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,78825,0,653,35,895,29,0,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,65104,1,227,4,1053,17,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,60093,1,368,92,735,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,14045,1,154,24,20,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,28457,0,609,96,205,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,78952,1,643,11,2092,21,0,0,0,High-Value Frequent Shoppers
Graduate,Single,46310,1,573,99,309,14,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,76005,0,492,72,1722,22,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,58308,1,533,77,900,15,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,55614,0,214,85,682,20,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,59432,1,442,88,663,22,0,0,0,High-Value Frequent Shoppers
Graduate,Single,55563,1,85,22,43,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,78642,1,434,83,1816,18,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,67911,1,38,63,976,27,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,65275,0,452,9,746,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,27203,2,692,92,64,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,48330,1,226,2,32,5,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,24279,0,547,6,263,9,0,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Partner,64355,1,674,66,1445,21,0,0,0,High-Value Frequent Shoppers
Graduate,Single,53653,0,599,29,1210,28,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,65665,1,209,77,945,24,0,0,0,High-Value Frequent Shoppers
Graduate,Single,81217,0,345,77,1157,22,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,34935,0,373,71,137,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,61250,1,560,49,730,25,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,39665,1,400,97,216,12,1,0,0,Family-Oriented Budget Shoppers
Graduate,Single,60152,1,458,6,943,23,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,48920,2,252,93,347,16,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,89120,0,104,78,1924,19,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,44124,1,414,62,397,17,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,81169,0,441,47,2089,22,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,36443,2,511,9,138,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,26095,1,364,77,42,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,71367,0,310,24,777,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,80184,0,120,19,1902,20,2,0,0,High-Value Frequent Shoppers
Graduate,Single,30630,2,153,67,52,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,73454,0,120,95,1651,13,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,42691,0,317,48,358,13,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,70503,0,637,73,1727,16,2,0,0,High-Value Frequent Shoppers
Graduate,Partner,25545,1,659,35,210,10,0,0,1,Family-Oriented Budget Shoppers
Graduate,Partner,32880,1,572,76,42,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,77863,0,214,20,1291,20,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,50353,0,21,72,442,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,61839,0,686,20,1895,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,49154,2,238,69,411,19,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,47682,1,499,80,521,19,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,72679,1,284,65,1168,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,57954,2,11,52,493,23,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,65316,2,431,65,260,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,28567,1,377,57,46,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,47352,1,444,70,319,16,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,44931,1,162,0,96,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,76982,0,134,19,1062,16,1,0,1,High-Value Frequent Shoppers
Graduate,Partner,57247,1,325,50,232,12,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,22944,1,188,67,76,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,25315,1,234,46,54,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,43638,1,692,37,201,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,42710,1,578,38,406,14,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,84169,0,326,9,1919,20,2,0,1,High-Value Frequent Shoppers
Graduate,Partner,54058,1,390,56,662,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,24683,1,113,98,41,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,85620,0,173,68,1600,14,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,47850,1,208,72,134,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,19514,2,154,47,69,10,1,0,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,27159,2,92,33,21,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,39548,2,90,87,54,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,21474,1,82,0,91,8,1,0,1,Family-Oriented Budget Shoppers
Postgraduate,Single,60504,1,142,73,526,18,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,22419,0,437,74,162,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,81698,0,235,4,1008,25,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,43462,2,655,50,240,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,54880,1,485,57,795,21,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,79908,0,450,30,1772,19,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,15315,0,330,27,64,8,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,87771,1,403,61,1957,20,4,0,1,High-Value Frequent Shoppers
Graduate,Partner,33039,1,293,4,78,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,81741,0,378,75,1572,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,71499,1,369,12,795,26,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,62466,1,165,13,889,26,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,48799,1,236,9,331,15,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,52157,1,22,48,265,12,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,66565,1,571,80,1065,19,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,29298,2,295,60,11,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,47691,1,359,43,21,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,38200,2,569,19,17,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,44989,1,655,26,369,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,38443,2,153,58,38,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,38593,1,289,42,177,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,64413,1,332,27,279,12,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,36959,1,270,56,62,7,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,61996,1,514,27,1230,21,3,0,1,High-Value Frequent Shoppers
Graduate,Partner,51287,2,89,10,182,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,13260,2,310,48,49,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,47472,2,286,39,75,8,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,54603,2,355,85,227,16,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,45207,2,596,64,215,15,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,47821,2,252,54,47,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,27450,0,440,57,143,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,39453,1,87,64,55,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,26850,2,72,10,63,11,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,79800,0,644,65,1867,22,3,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,61794,1,288,74,611,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,53863,1,43,4,473,18,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,24221,0,313,94,55,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,39684,1,625,41,81,7,0,1,1,Family-Oriented Budget Shoppers
Postgraduate,Partner,92163,0,564,25,2086,21,2,0,1,High-Value Frequent Shoppers
Postgraduate,Single,69882,0,231,94,1478,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,33178,1,150,9,49,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,59973,0,291,47,382,15,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,17459,1,283,12,69,9,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,23910,1,611,80,67,6,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,42169,2,253,20,30,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,26224,1,390,39,63,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,31089,1,681,57,79,10,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,30081,1,493,27,42,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,62807,1,667,83,819,23,0,0,0,High-Value Frequent Shoppers
Graduate,Single,72906,0,285,79,1151,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,61467,2,567,69,594,20,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,49618,2,519,77,129,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,21888,1,547,15,213,12,0,0,1,Family-Oriented Budget Shoppers
Graduate,Single,26150,3,475,61,28,5,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,30801,1,611,23,45,6,0,0,0,Price-Conscious Minimal Shoppers
Graduate,Partner,81168,0,53,84,1193,18,1,0,0,High-Value Frequent Shoppers
Postgraduate,Single,26877,0,314,74,268,12,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,45006,0,346,90,266,12,0,0,0,Family-Oriented Budget Shoppers
Undergraduate,Partner,18978,1,565,41,37,5,0,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Single,48240,0,597,73,882,25,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,45837,2,338,88,373,18,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,35791,3,419,94,35,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,54162,2,468,31,42,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,30522,1,681,6,326,17,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,54456,1,353,23,404,17,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,31632,0,350,92,95,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,72298,0,111,52,939,14,2,0,0,High-Value Frequent Shoppers
Graduate,Single,36975,1,183,50,33,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,72635,0,391,54,981,21,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,13624,1,525,93,36,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,84196,1,391,56,1237,20,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,70971,1,646,28,1825,34,0,0,1,High-Value Frequent Shoppers
Postgraduate,Single,34487,2,661,94,103,9,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,28769,1,558,76,191,12,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,69084,1,222,43,1586,25,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,65488,0,16,46,963,14,0,0,0,High-Value Frequent Shoppers
Graduate,Single,32218,0,134,27,93,7,1,0,1,Family-Oriented Budget Shoppers
Graduate,Single,83917,0,437,12,1587,21,0,0,1,High-Value Frequent Shoppers
Graduate,Single,46102,3,111,3,16,4,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,84574,0,390,72,1375,32,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,56181,1,537,6,393,14,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Single,63120,1,639,53,1477,26,0,0,1,High-Value Frequent Shoppers
Graduate,Partner,73691,1,235,58,1179,18,1,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,76140,0,47,57,1348,21,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,62859,1,546,37,1307,23,0,0,0,High-Value Frequent Shoppers
Graduate,Single,45906,1,418,20,486,15,1,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,77632,0,476,73,2252,13,2,0,1,High-Value Frequent Shoppers
Postgraduate,Partner,46463,2,315,56,235,17,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,105471,0,524,36,1724,30,2,0,1,High-Value Frequent Shoppers
Postgraduate,Single,55282,1,198,9,235,11,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,78710,1,37,42,1092,28,0,0,0,High-Value Frequent Shoppers
Graduate,Partner,66886,1,286,28,599,17,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,98777,0,132,23,2008,19,1,0,0,High-Value Frequent Shoppers
Graduate,Partner,29103,1,671,38,48,6,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,67445,1,686,63,1174,32,0,0,0,High-Value Frequent Shoppers
Postgraduate,Partner,50616,1,77,71,67,7,0,0,0,Family-Oriented Budget Shoppers
Graduate,Single,49431,1,695,9,365,15,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,61278,1,176,87,165,10,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,73059,1,302,36,1095,26,0,0,0,High-Value Frequent Shoppers
Postgraduate,Single,46734,3,251,86,223,12,1,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,56253,1,569,83,597,22,0,0,0,High-Value Frequent Shoppers
Graduate,Single,58330,1,186,87,1064,24,0,0,0,High-Value Frequent Shoppers
Undergraduate,Partner,25965,0,660,29,74,6,0,0,0,Price-Conscious Minimal Shoppers
Postgraduate,Partner,14661,0,544,88,26,5,0,0,0,Family-Oriented Budget Shoppers
Graduate,Partner,18690,0,548,77,60,5,0,0,0,Family-Oriented Budget Shoppers
Postgraduate,Partner,45068,1,409,25,20,4,0,0,0,Family-Oriented Budget Shoppers
